name,name_ga,county,lat,lon,type
Raphoe,Ráth Bhoth,Donegal,54.8735295,-7.599543,town
Bansha,An Bháinseach,,52.4478055,-8.0639384,village
Ballyvary,Béal Átha Bhearaigh,,53.8952489,-9.15033,village
Cootehall,Uachtar Thíre,,53.9849175,-8.1588994,village
Oulart,An tAbhallort,Wexford,52.5034251,-6.3916482,village
Termonfeckin,Tearmann Feichín,,53.7615172,-6.271401,village
An Chorrchloch,An Chorrchloch,,54.2539454,-10.039477,hamlet
Ballybunion,Baile an Bhuinneánaigh,Kerry,52.5111587,-9.6701424,town
Sallins,Na Solláin,,53.249033,-6.665686,town
Borris,An Bhuiríos,,52.5987984,-6.9202139,village
Ballysloe,,,52.6370578,-7.6096425,hamlet
Templeogue,Teach Mealóg,,53.2978734,-6.304288,suburb
Cloghan,An Clochán,Offaly,53.2248823,-7.8825828,town
Carrowmenagh,Ceathrú Meánach,Donegal,55.2599766,-7.0695981,hamlet
Fedamore,Feadamair,,52.5453986,-8.6026924,village
Kilbride,Cill Bhríde,Meath,53.4550427,-6.3952809,village
Belturbet,Béal Tairbirt,,54.1007391,-7.4440418,town
Birdhill,Cnocán an Éin Fhinn,,52.767251,-8.4377757,village
Ballinabrackey,Buaile na Bréachmhaí,,53.416656,-7.1326228,hamlet
Tulsk,Tuilsce,,53.7776262,-8.2514448,village
Cloontuskert,,,53.6992213,-8.0116494,village
Graiguenamanagh,Gráig na Manach,Kilkenny,52.5406101,-6.9553993,town
Cill Chiaráin,Cill Chiaráin,Galway,53.325833,-9.735278,village
Baile Órthaí,Baile Órthaí,Meath,53.7220805,-6.7913145,hamlet
Annayalla,Eanaigh Gheala,,54.1604232,-6.7904527,village
Kincasslagh,Cionn Caslach,Donegal,55.0258173,-8.3929896,hamlet
Whitechurch,,Wexford,52.3207325,-6.9614221,village
Laragh,An Laithreach,,53.0083959,-6.2976441,village
Killeigh,Cill Aichidh,,53.2136157,-7.4496184,village
Bishopstown,Baile an Easpaig,Cork,51.8796067,-8.5166631,suburb
